code,country,school_age_population,urban,pre-primary,primary,secondary,National_bws,National_lws,National_nws,Urban_bws,Urban_lws,Urban_nws,Rural_bws,Rural_lws,Rural_nws,Pre-primary_bws,Pre-primary_lws,Pre-primary_nws,Primary_bws,Primary_lws,Primary_nws,Secondary_bws,Secondary_lws,Secondary_nws,National_bss,National_lss,National_nss,Urban_bss,Urban_lss,Urban_nss,Rural_bss,Rural_lss,Rural_nss,Pre-primary_bss,Pre-primary_lss,Pre-primary_nss,Primary_bss,Primary_lss,Primary_nss,Secondary_bss,Secondary_lss,Secondary_nss,National_bhs,National_lhs,National_nhs,Urban_bhs,Urban_lhs,Urban_nhs,Rural_bss,Rural_lss,Rural_nhs,Pre-primary_bhs,Pre-primary_lhs,Pre-primary_nhs,Primary_bhs,Primary_lhs,Primary_nhs,Secondary_bhs,Secondary_lhs,Secondary_nhs
BLZ,Belize,108.0660019,45.86548996,14.26535606,42.20013809,43.53450775,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,4371.10791,47.86100006,15.68307209,42.7504425,41.56648636,44.61415,34.47887865,20.90697135,0,0,0,0,0,0,0,0,0,44.61415,36.66820294,18.71764706,0,0,26.91428571,0,0,27.82879881,0,0,0,0,0,0,0,0,0,0,0,29.9744186,0,0,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,9.213000298,100,6.338869095,40.33430862,53.32682037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
BTN,Bhutan,198.223999,41.61201477,12.35168266,45.55755234,42.09076691,64.48791045,24.52152579,10.99056376,0,0,0,0,0,0,0,0,0,58.29072848,30.67174393,11.03752759,63.08834951,29.14466019,7.766990291,86.47087329,2.784756449,10.74437026,0,0,<1,0,0,0,0,0,0,75.49668874,13.57615894,10.92715232,93.2038835,3.883495146,2.912621359,0,0,17.94382903,0,0,0,0,0,0,0,0,0,0,0,18.59234731,0,0,16.57226537
BOL,Bolivia (Plurinational State of),3269.437988,69.77300262,14.75437069,43.04296494,42.20266724,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,751.125,70.17207336,21.86001015,47.55347061,30.58652115,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,42288.86328,86.82400513,10.99450207,33.26832581,55.73717117,0,0,15.11114008,0,0,3.533285338,0,0,44.38754156,0,0,21.23414882,0,0,17.80757255,0,0,6.461707437,0,0,5.034633714,0,0,4.019730603,0,0,9.842050736,0,0,6.90906581,0,0,4.062358711,0,0,4.742479844,61.02142,35.12563,3.85295,61.1329,36.10058,2.76652,59.79682,24.41537,15.78781,76.9631,17.03036,6.00654,61.2416,34.99303,3.76537,64.86643,33.06275,2.07082
VGB,British Virgin Islands,5.156000137,48.11869812,12.33514309,45.4228096,42.24204636,92.84286171,0,0,0,0,0,0,0,0,0,0,0,>99,<1,<1,84.27697209,0,0,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,95.01602228,4.98397772,<1,0,0,0,0,0,0,0,0,0,90.74074,9.25926,<1,>99,<1,<1
BRN,Brunei Darussalam,104.8840027,77.94229889,18.44418526,37.37176132,44.18405151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
BFA,Burkina Faso,8603.526367,29.97999954,22.47865677,39.7592926,37.76205063,52.56573529,6.516983977,40.91728073,0,0,28.3,0,0,49.4,0,0,30.38922156,0,0,40.81714286,42.12308735,13.76421177,44.11270089,70.43392955,9.82730047,19.73876998,0,0,10.5,0,0,29.6,0,0,14.82035928,0,0,18.35283019,53.489239,14.39088861,32.11987239,24.63828656,0,0,0,0,0,0,0,0,0,0,0,25.82598333,0,0,7.778954977,0,0
BDI,Burundi,4111.055176,13.36600971,14.50547409,45.24123383,40.25329208,45.82022215,12.74699052,41.43278733,0,0,0,0,0,0,48.18143892,2.908668032,48.90989305,44.52999229,7.569810154,47.90019756,52.00391007,33.45970932,14.53638061,49.03169315,45.89789809,5.070408755,0,0,0,0,0,0,0,0,0,35.16038,55.92334093,8.91627907,93.34740857,6.652591429,<1,17.30881215,16.04279659,66.64839126,0,0,0,0,0,0,51.77304965,17.0212766,31.20567376,17.74279685,3.595493109,78.66171004,14.34677381,21.33260058,64.32062561
CPV,Cabo Verde,151.8739929,66.19500732,19.47667122,40.85294342,39.67038345,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,90.39611631,8.347416912,1.256466776,0,0,0,0,0,0,0,0,0,90.636395,9.363605,<1,85.29728531,14.70271469,<1,84.11947377,0,0,0,0,0,0,0,0,0,0,0,83.440685,0,0,>99,0,0
KHM,Cambodia,4837.167969,23.80500412,21.10809517,41.99982452,36.89208221,73.32987321,<1,26.51442129,75.39737388,<1,24.60262612,72.94019934,<1,26.74418605,57.98776343,<1,42.01223657,80.1043526,2.141974461,17.75367294,76.04690117,<1,23.95309883,31.84548083,29.81018759,38.34433158,38.42432619,18.14098134,43.43469247,31.05481728,31.21262458,37.73255814,10.98226467,20.95745888,68.06027646,40.40917204,34.22353426,25.3672937,48.46454495,33.64042434,17.89503071,47.64364906,5.430556875,46.92579407,54.86499389,5.616724257,39.51828186,46.5610529,5.59269103,47.84625607,38.31928045,4.168132615,57.51258694,54.56110119,5.606490352,39.83240845,41.62168535,7.58248937,50.79582528
CMR,Cameroon,9703.892578,56.96800232,15.73343849,42.87705994,41.38950348,34.096985,30.34864407,35.55437093,0,0,29.01333995,0,0,65.04001986,0,0,39,34.096985,22.80476939,43.09824561,0,0,0,38.76213,11.90881556,49.32905444,0,0,0,0,0,0,0,0,0,38.76213,6.904536667,54.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,Cayman Islands,15.89700031,100,18.7393856,38.88784027,42.3664856,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
CAF,Central African Republic,2110.509033,41.76996994,21.44781113,38.74316406,39.809021,15.95,7.359209001,76.690791,0,0,0,0,0,0,0,0,49.38016529,15.95,2.667153357,81.38284664,0,0,57.70608005,0,0,59,0,0,0,0,0,0,0,0,23.96694215,0,0,59,0,0,19.39677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCD,Chad,6973.515137,23.27900696,22.81718826,39.69260788,37.49020386,22.66207816,14.46728384,62.87063799,0,0,0,0,0,0,0,0,40.78602414,19.33625607,10.94644815,69.71729578,0,0,50.01425609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.96666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,3726.273926,87.64299011,19.49502373,40.70967484,39.79530334,0,0,3.628571429,0,0,<1,0,0,9.661129568,0,0,0,0,0,3.669910471,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,252536.5781,60.30800247,20.22220421,40.53044128,39.24734879,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,0,0,41.93333333,0,0,0,0,0,0,0,0,0,0,0,1.033026667,0,0,<1,0,0,2.007133132,0,0,0,0,0,0,0,0,0,0,0,2.83158,0,0,1.164705988
HKG,"China, Hong Kong Special Administrative Region",844.8170166,100,21.74849701,40.74491882,37.50658417,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
